Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Naive,32,0.210901,0.202972,0.279811,888.128757,406.290293,814.586878
Naive,64,0.204978,0.196338,0.279924,887.609482,406.280518,755.881071
Naive,128,0.205043,0.196348,0.280524,888.305664,406.146526,755.970478
Naive,256,0.205100,0.196423,0.280251,889.005661,406.004429,755.985022
Naive,512,0.204871,0.196302,0.280138,886.950254,405.755997,755.998850
Naive,1024,0.205033,0.196289,0.280135,887.831926,406.445026,756.048918
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Transpose,32,0.200520,0.192285,0.271241,798.029184,406.343699,800.819397
Transpose,64,0.188596,0.179071,0.271293,798.127174,406.866074,680.966616
Transpose,128,0.188514,0.179117,0.271003,797.861338,406.302214,680.974007
Transpose,256,0.188610,0.179100,0.270858,798.698425,406.403542,680.995464
Transpose,512,0.188528,0.179060,0.271067,797.821045,406.440973,681.013107
Transpose,1024,0.188486,0.178754,0.271409,797.278166,406.158209,681.419849
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Shmem,32,0.195613,0.186910,0.270636,795.859575,405.871630,754.392147
Shmem,64,0.166922,0.155081,0.270817,797.226906,406.464100,465.519667
Shmem,128,0.154174,0.140456,0.270791,795.645237,405.797005,340.292692
Shmem,256,0.154436,0.140834,0.270745,796.632051,405.857563,341.871262
Shmem,512,0.155020,0.141375,0.271136,798.085451,406.219482,345.890760
Shmem,1024,0.155755,0.141882,0.271267,798.040390,406.482697,353.024244
